,total_bill,tip,sex,smoker,day,time,size
0,16.99,1.01,Female,No,Sun,Dinner,2
4,24.59,3.61,Female,No,Sun,Dinner,4
11,35.26,5.0,Female,No,Sun,Dinner,4
14,14.83,3.02,Female,No,Sun,Dinner,2
16,10.33,1.67,Female,No,Sun,Dinner,3
18,16.97,3.5,Female,No,Sun,Dinner,3
21,20.29,2.75,Female,No,Sat,Dinner,2
22,15.77,2.23,Female,No,Sat,Dinner,2
29,19.65,3.0,Female,No,Sat,Dinner,2
32,15.06,3.0,Female,No,Sat,Dinner,2
33,20.69,2.45,Female,No,Sat,Dinner,4
37,16.93,3.07,Female,No,Sat,Dinner,3
51,10.29,2.6,Female,No,Sun,Dinner,2
52,34.81,5.2,Female,No,Sun,Dinner,4
57,26.41,1.5,Female,No,Sat,Dinner,2
66,16.45,2.47,Female,No,Sat,Dinner,2
67,3.07,1.0,Female,Yes,Sat,Dinner,1
71,17.07,3.0,Female,No,Sat,Dinner,3
72,26.86,3.14,Female,Yes,Sat,Dinner,2
73,25.28,5.0,Female,Yes,Sat,Dinner,2
74,14.73,2.2,Female,No,Sat,Dinner,2
82,10.07,1.83,Female,No,Thur,Lunch,1
85,34.83,5.17,Female,No,Thur,Lunch,4
92,5.75,1.0,Female,Yes,Fri,Dinner,2
93,16.32,4.3,Female,Yes,Fri,Dinner,2
94,22.75,3.25,Female,No,Fri,Dinner,2
100,11.35,2.5,Female,Yes,Fri,Dinner,2
101,15.38,3.0,Female,Yes,Fri,Dinner,2
102,44.3,2.5,Female,Yes,Sat,Dinner,3
103,22.42,3.48,Female,Yes,Sat,Dinner,2
104,20.92,4.08,Female,No,Sat,Dinner,2
109,14.31,4.0,Female,Yes,Sat,Dinner,2
111,7.25,1.0,Female,No,Sat,Dinner,1
114,25.71,4.0,Female,No,Sun,Dinner,3
115,17.31,3.5,Female,No,Sun,Dinner,2
117,10.65,1.5,Female,No,Thur,Lunch,2
118,12.43,1.8,Female,No,Thur,Lunch,2
119,24.08,2.92,Female,No,Thur,Lunch,4
121,13.42,1.68,Female,No,Thur,Lunch,2
124,12.48,2.52,Female,No,Thur,Lunch,2
125,29.8,4.2,Female,No,Thur,Lunch,6
127,14.52,2.0,Female,No,Thur,Lunch,2
128,11.38,2.0,Female,No,Thur,Lunch,2
131,20.27,2.83,Female,No,Thur,Lunch,2
132,11.17,1.5,Female,No,Thur,Lunch,2
133,12.26,2.0,Female,No,Thur,Lunch,2
134,18.26,3.25,Female,No,Thur,Lunch,2
135,8.51,1.25,Female,No,Thur,Lunch,2
136,10.33,2.0,Female,No,Thur,Lunch,2
137,14.15,2.0,Female,No,Thur,Lunch,2
139,13.16,2.75,Female,No,Thur,Lunch,2
140,17.47,3.5,Female,No,Thur,Lunch,2
143,27.05,5.0,Female,No,Thur,Lunch,6
144,16.43,2.3,Female,No,Thur,Lunch,2
145,8.35,1.5,Female,No,Thur,Lunch,2
146,18.64,1.36,Female,No,Thur,Lunch,3
147,11.87,1.63,Female,No,Thur,Lunch,2
155,29.85,5.14,Female,No,Sun,Dinner,5
157,25.0,3.75,Female,No,Sun,Dinner,4
158,13.39,2.61,Female,No,Sun,Dinner,2
162,16.21,2.0,Female,No,Sun,Dinner,3
164,17.51,3.0,Female,Yes,Sun,Dinner,2
168,10.59,1.61,Female,Yes,Sat,Dinner,2
169,10.63,2.0,Female,Yes,Sat,Dinner,2
178,9.6,4.0,Female,Yes,Sun,Dinner,2
186,20.9,3.5,Female,Yes,Sun,Dinner,3
188,18.15,3.5,Female,Yes,Sun,Dinner,3
191,19.81,4.19,Female,Yes,Thur,Lunch,2
197,43.11,5.0,Female,Yes,Thur,Lunch,4
198,13.0,2.0,Female,Yes,Thur,Lunch,2
201,12.74,2.01,Female,Yes,Thur,Lunch,2
202,13.0,2.0,Female,Yes,Thur,Lunch,2
203,16.4,2.5,Female,Yes,Thur,Lunch,2
205,16.47,3.23,Female,Yes,Thur,Lunch,3
209,12.76,2.23,Female,Yes,Sat,Dinner,2
213,13.27,2.5,Female,Yes,Sat,Dinner,2
214,28.17,6.5,Female,Yes,Sat,Dinner,3
215,12.9,1.1,Female,Yes,Sat,Dinner,2
219,30.14,3.09,Female,Yes,Sat,Dinner,4
221,13.42,3.48,Female,Yes,Fri,Lunch,2
223,15.98,3.0,Female,No,Fri,Lunch,3
225,16.27,2.5,Female,Yes,Fri,Lunch,2
226,10.09,2.0,Female,Yes,Fri,Lunch,2
229,22.12,2.88,Female,Yes,Sat,Dinner,2
238,35.83,4.67,Female,No,Sat,Dinner,3
240,27.18,2.0,Female,Yes,Sat,Dinner,2
243,18.78,3.0,Female,No,Thur,Dinner,2
